checked_out_on,library_card,accession
5/1/2012 11:25:21,0185,30137863
5/1/2012 11:25:31,0185,30137749
5/1/2012 11:25:38,0185,30137681
5/1/2012 12:17:39,   0219,30080832
5/1/2012 12:17:46,   0219,30080832
5/1/2012 12:18:27,0022,30075444
5/1/2012 12:42:31,0085,30100408
5/1/2012 12:50:27,0117,30106132
5/1/2012 12:50:32,0117,30106132
5/1/2012 12:50:46,0093,30133193
5/1/2012 12:51:02,0096,30038616
5/1/2012 12:57:11,0043,30028997
5/1/2012 12:57:50,0021,19885540
5/1/2012 12:58:29,0006,30140065
5/1/2012 12:59:03,0086,30117113
5/1/2012 12:59:30,0106,30042774
5/1/2012 13:03:45,0075,30027940
5/1/2012 13:08:01,0118,30006977
5/1/2012 13:11:02,0228,30135594
5/1/2012 13:11:06,0228,30135594
5/1/2012 13:11:16,0228,30112916
5/1/2012 13:17:29,0148,30095590
5/1/2012 13:17:33,0148,30095590
5/1/2012 13:27:05,0105,22219091
5/1/2012 13:40:08,0148,30116677
5/1/2012 13:40:14,0148,30116677
5/1/2012 13:40:14,0148,30116677
5/1/2012 13:40:14,0148,30116677
5/1/2012 13:40:14,0148,30116677
5/1/2012 13:40:14,0148,30116677
5/1/2012 13:40:15,0148,30116677
5/1/2012 13:56:58,0139,30129027
5/1/2012 13:57:03,0139,30129027
5/1/2012 13:57:11,0139,30084032
5/1/2012 13:59:28,0148,30116677
5/1/2012 13:59:36,0148,30095590
5/1/2012 13:59:52,0135,30052641
5/1/2012 14:02:03,0166,30123061
5/1/2012 14:02:56,0153,30086201
5/1/2012 14:03:17,0135,30052641
5/1/2012 14:35:31,0128,30133961
5/1/2012 14:41:05,0093,30135529
5/1/2012 14:41:43,0102,30140008
5/1/2012 14:42:15,0151,30068357
5/1/2012 14:45:13,0152,30120240
5/1/2012 14:45:16,0152,30120240
5/1/2012 14:51:08,0147,30139331
5/2/2012 9:19:04,0154,30139695
5/2/2012 9:19:09,0154,30139695
5/2/2012 9:19:09,0154,30139695
5/2/2012 9:19:09,0154,30139695
5/2/2012 9:19:09,0154,30139695
5/2/2012 9:19:09,0154,30139695
5/2/2012 9:49:09,0206,30082242
5/2/2012 9:49:14,0206,30082242
5/2/2012 9:49:31,0206,30137103
5/2/2012 9:49:43,0206,30115059
5/2/2012 9:49:53,0206,30059745
5/2/2012 9:50:02,0206,30139125
5/2/2012 9:54:44,0008,30018998
5/2/2012 9:54:48,0008,30018998
5/2/2012 9:59:53,0031,30108708
5/2/2012 10:04:11,0027,30004980
5/2/2012 10:05:33,0029,30082572
5/2/2012 10:06:13,0007,22226070
5/2/2012 10:27:23,0060,30025589
5/2/2012 11:43:48,0213,30112528
5/2/2012 11:44:12,0213,30108153
5/2/2012 11:44:20,0213,30005011
5/2/2012 13:01:31,0087,30102891
5/2/2012 13:01:41,0087,30102891
5/2/2012 13:01:41,0087,30102891
5/2/2012 13:02:39,0041,30085799
5/2/2012 13:04:20,0022,30128953
5/2/2012 13:04:31,0022,30129076
5/2/2012 13:04:49,0022,30129019
5/2/2012 13:09:48,0087,30116917
5/2/2012 13:17:39,0091,30115455
5/2/2012 14:01:03,0156,30108500
5/2/2012 14:01:09,0156,30108500
5/2/2012 14:14:23,0166,30120455
5/3/2012 9:41:24,0016,30131627
5/3/2012 9:41:45,0016,30131627
5/3/2012 9:41:45,0016,30131627
5/3/2012 9:41:45,0016,30131627
5/3/2012 9:42:04,0016,30111884
5/3/2012 9:47:29,0025,30096713
5/3/2012 9:47:40,0025,30096713
5/3/2012 9:48:07,0039,30131692
5/3/2012 9:48:07,0039,30131692
5/3/2012 9:48:30,0024,19879824
5/3/2012 9:49:04,0002,19879022
5/3/2012 9:49:15,0002,30116982
5/3/2012 9:49:31,0043,30109003
5/3/2012 9:49:46,0022,30032825
5/3/2012 9:50:31,0004,30010359
5/3/2012 9:51:59,0054,20831277
5/3/2012 10:12:24,0169,30058747
5/3/2012 10:13:11,0169,30058747
5/3/2012 10:13:11,0169,30058747
5/3/2012 10:13:28,0169,30062483
5/3/2012 10:13:45,0169,18992345
5/3/2012 10:14:07,0040,30129936
5/3/2012 10:14:16,0040,30129878
5/3/2012 10:14:39,0021,30013387
5/3/2012 10:15:18,0026,30083000
5/3/2012 10:15:41,0026,30109086
5/3/2012 10:16:10,0005,30006423
5/3/2012 10:16:57,0005,30008270
5/3/2012 10:17:12,0005,22222319
5/3/2012 10:17:42,0001,30064224
5/3/2012 10:17:52,0001,20832259
5/3/2012 10:17:59,0001,30023733
5/3/2012 10:18:05,0001,30013809
5/3/2012 10:18:21,0023,30127286
5/3/2012 10:18:32,0023,30113526
5/3/2012 10:18:42,0023,30109292
5/3/2012 10:18:50,0023,30047989
5/3/2012 10:18:58,0023,30011209
5/3/2012 10:19:18,0043,30117774
5/3/2012 10:19:26,0043,30117006
5/3/2012 10:28:02,0072,30010854
5/3/2012 10:28:19,0074,30035778
5/3/2012 11:11:41,0027,30136717
5/3/2012 11:12:43,0046,30136774
5/3/2012 11:13:12,0045,30130934
5/3/2012 11:13:35,0047,19880574
5/3/2012 11:15:32,0050,30127435
5/3/2012 11:15:40,0009,30127104
5/3/2012 11:15:46,0012,19878875
5/3/2012 11:15:55,0030,30138366
5/3/2012 11:49:58,0045,30112734
5/3/2012 11:50:03,0045,30112734
5/3/2012 11:50:23,0048,30064588
5/3/2012 12:31:02,0088,30049860
5/3/2012 12:31:20,0085,30136204
5/3/2012 12:33:20,0039,30038996
5/3/2012 12:54:16,0025,30122188
5/3/2012 13:01:51,0042,22232441
5/3/2012 13:08:50,0112,30085385
5/3/2012 13:08:55,0112,30085385
5/3/2012 13:25:28,0229,19888049
5/3/2012 13:25:33,0229,19888049
5/3/2012 13:25:45,0229,30049340
5/3/2012 13:27:58,0149,30139810
5/3/2012 13:38:56,0177,30128573
5/3/2012 13:39:01,0177,30128573
5/3/2012 13:46:26,0175,30076582
5/3/2012 14:04:24,0166,30127138
5/3/2012 14:10:47,0126,30118178
5/3/2012 14:12:03,0139,22221840
5/3/2012 14:55:23,0123,30068647
5/4/2012 9:52:03,0186,19001593
5/4/2012 10:05:57,0117,30140347
5/4/2012 10:47:03,0092,30134282
5/4/2012 10:51:01,0064,30130306
5/4/2012 10:51:38,0221,19879121
5/4/2012 10:51:48,0221,19879352
5/4/2012 10:51:59,0221,19879352
5/4/2012 10:52:06,0221,19878883
5/4/2012 10:52:15,0221,30127534
5/4/2012 10:52:29,0221,30108906
5/4/2012 10:52:47,0221,19879121
5/4/2012 10:52:47,0221,19879121
5/4/2012 10:52:57,0221,19879113
5/4/2012 13:29:16,0167,30110977
5/4/2012 14:13:20,0019,30023220
5/4/2012 14:13:53,0019,30007520
5/4/2012 14:14:14,0019,30022628
5/4/2012 14:14:25,0019,30038426
5/4/2012 14:16:58,0055,22222962
5/4/2012 14:17:13,0055,30052765
5/4/2012 14:17:55,0051,30014120
5/4/2012 14:18:59,0053,30039770
5/4/2012 14:19:31,0227,18997338
5/4/2012 14:20:20,0034,30015556
5/4/2012 14:21:16,0038,22222640
5/4/2012 14:21:32,0038,22222640
5/4/2012 14:22:56,0020,30037782
5/4/2012 14:23:24,0052,30139471
5/4/2012 14:23:56,0052,30110753
5/4/2012 14:24:17,0052,30122915
5/4/2012 14:24:34,0015,30011381
5/4/2012 14:25:01,0015,30137053
5/4/2012 14:25:28,0016,30073092
5/4/2012 14:25:36,0016,30039325
5/4/2012 14:25:43,0016,30039325
5/4/2012 14:25:55,0016,30109029
5/4/2012 14:26:03,0016,30109029
5/4/2012 14:26:29,0016,30108963
5/4/2012 14:26:45,0227,30133045
5/4/2012 14:33:48,0214,18993923
5/4/2012 14:34:07,0214,18993923
5/4/2012 14:34:21,0214,18993923
5/4/2012 14:34:21,0214,18993923
5/4/2012 14:34:21,0214,18993923
5/4/2012 14:34:21,0214,18993923
5/4/2012 14:34:21,0214,18993923
5/4/2012 14:34:29,0214,30138747
5/4/2012 14:34:40,0214,30123327
5/4/2012 14:34:47,0214,30132708
5/4/2012 14:34:55,0214,30068290
5/4/2012 14:35:02,0214,30048821
5/4/2012 14:35:11,0214,30062426
5/4/2012 14:35:17,0214,30081582
5/4/2012 14:35:53,0214,30113963
5/4/2012 14:35:59,0214,18999763
5/4/2012 14:49:29,0018,18992834
5/4/2012 14:49:41,0018,18992834
5/4/2012 14:49:41,0018,18992834
5/4/2012 14:49:41,0018,18992834
5/4/2012 14:49:41,0018,18992834
5/4/2012 14:49:41,0018,18992834
5/4/2012 14:49:41,0018,18992834
5/4/2012 14:49:41,0018,18992834
5/4/2012 14:49:41,0018,18992834
5/4/2012 14:49:42,0018,18992834
5/4/2012 14:49:42,0018,18992834
5/4/2012 14:49:42,0018,18992834
5/4/2012 14:49:42,0018,18992834
5/4/2012 14:49:42,0018,18992834
5/4/2012 14:49:42,0018,18992834
5/4/2012 14:49:42,0018,18992834
