timestamp,library_card,accession
4/24/12 14:35,149,30127229
4/4/12 13:19,418,30127070
4/4/12 13:19,418,30127070
4/17/12 11:30,14,30127021
4/11/12 10:34,14,30126882
4/6/12 14:04,16,30126882
4/17/12 10:22,187,30126882
4/17/12 10:22,187,30126882
4/9/12 14:13,59,30126817
4/6/12 14:08,19,30126759
4/5/12 11:08,29,30126650
4/19/12 11:16,30,30126445
4/19/12 11:16,30,30126387
4/24/12 13:04,74,30126346
4/10/12 14:04,210,30126338
4/3/12 8:20,184,30126262
4/5/12 11:14,49,30126247
4/24/12 13:04,74,30126205
4/9/12 14:33,111,30125934
4/9/12 13:07,1,30125918
4/17/12 10:26,41,30125884
4/19/12 13:02,39,30125819
4/16/12 12:52,40,30125819
4/12/12 14:10,121,30125603
4/10/12 12:45,15,30125488
4/18/12 14:09,139,30125421
4/9/12 13:58,75,30125363
4/24/12 12:47,43,30124820
4/5/12 8:34,54,30124788
4/5/12 13:08,75,30124739
4/24/12 14:47,153,30124689
4/19/12 14:01,166,30124499
4/24/12 14:02,135,30124374
4/3/12 8:14,184,30124366
4/4/12 12:52,5,30124200
4/11/12 12:22,221,30124044
4/18/12 12:55,70,30123814
4/11/12 9:26,103,30123798
4/3/12 14:20,103,30123749
4/23/12 12:45,108,30123749
4/10/12 14:13,161,30123681
4/10/12 14:14,177,30123624
4/23/12 12:22,95,30123392
4/17/12 12:45,2,30123384
4/23/12 12:22,95,30122907
4/16/12 9:43,178,30122725
4/18/12 12:51,5,30122543
4/3/12 8:49,54,30122121
4/17/12 14:01,167,30122121
4/10/12 14:04,149,30122014
4/10/12 14:04,149,30122014
4/12/12 13:30,166,30121974
4/12/12 11:13,46,30121925
4/3/12 14:35,149,30121677
4/4/12 12:53,74,30121586
4/3/12 13:05,84,30121529
4/10/12 14:00,127,30121362
4/10/12 14:00,127,30121362
4/18/12 13:10,75,30121305
4/10/12 14:13,154,30121016
4/23/12 12:41,85,30120950
4/9/12 14:53,135,30120950
4/18/12 14:01,166,30120240
4/16/12 14:19,102,30120182
4/4/12 12:37,14,30119630
4/16/12 14:22,103,30119408
4/19/12 11:15,28,30119226
4/23/12 12:44,108,30119135
4/16/12 12:44,112,30119135
4/4/12 12:37,71,30118251
4/17/12 13:44,137,30118178
4/24/12 14:01,123,30118111
4/24/12 10:37,66,30117790
4/5/12 11:17,9,30117550
4/13/12 10:37,95,30117113
4/19/12 14:02,135,30117113
4/5/12 11:18,48,30116974
4/5/12 9:08,175,30116792
4/23/12 14:56,135,30116768
4/23/12 14:56,135,30116701
4/23/12 14:56,135,30116701
4/18/12 14:28,152,30116370
4/18/12 14:28,152,30116370
4/19/12 14:44,174,30116164
4/12/12 13:29,166,30115919
4/24/12 14:13,144,30115778
4/6/12 13:30,149,30115703
4/16/12 14:07,66,30115463
4/23/12 12:50,90,30115455
4/24/12 14:35,151,30115281
4/3/12 13:03,6,30115174
4/16/12 14:16,62,30115059
4/13/12 13:49,165,30114797
4/9/12 13:48,109,30114136
4/9/12 14:11,109,30114078
4/9/12 14:12,109,30114078
4/3/12 14:15,177,30114029
4/5/12 11:16,11,30113658
4/3/12 13:27,106,30113419
4/12/12 11:17,50,30113393
4/3/12 12:46,15,30113369
4/12/12 11:16,50,30113336
4/12/12 14:10,160,30113294
4/9/12 12:00,201,30113203
4/6/12 14:08,15,30113120
4/16/12 14:16,61,30113021
4/4/12 14:43,166,30112932
4/24/12 14:15,130,30112726
4/10/12 13:09,74,30112437
4/24/12 14:36,182,30111991
4/9/12 13:55,75,30111538
4/12/12 12:44,75,30111538
4/11/12 9:42,103,30111306
4/9/12 14:33,111,30111223
4/9/12 14:33,111,30111223
4/5/12 11:16,11,30111215
4/18/12 10:03,184,30111207
4/17/12 12:42,87,30111165
4/16/12 13:03,24,30110928
4/9/12 12:38,95,30110852
4/13/12 14:18,15,30110498
4/24/12 12:48,6,30110464
4/9/12 14:20,106,30110431
4/24/12 12:59,21,30110282
4/6/12 14:17,20,30109714
4/3/12 14:11,142,30109615
4/24/12 10:22,198,30108971
4/19/12 13:14,93,30108427
4/3/12 13:50,141,30107494
4/3/12 13:50,141,30107494
4/18/12 12:57,22,30106231
4/3/12 13:03,70,30106140
4/3/12 14:10,165,30106132
4/6/12 13:46,129,30105324
4/17/12 11:49,219,30105266
4/6/12 13:50,147,30105241
4/6/12 13:50,147,30105241
4/6/12 13:50,147,30105241
4/5/12 9:08,175,30104665
4/5/12 9:08,175,30104665
4/19/12 13:28,111,30103774
4/11/12 9:51,103,30101109
4/18/12 12:46,114,30100853
4/12/12 11:17,50,30099741
4/23/12 14:13,102,30099733
4/5/12 13:10,201,30099055
4/24/12 14:07,154,30098016
4/24/12 14:07,154,30098016
4/24/12 14:07,154,30098016
4/12/12 11:13,46,30097661
4/12/12 11:13,48,30097653
4/12/12 11:14,11,30097646
4/12/12 11:13,46,30097638
4/9/12 14:16,83,30097638
4/12/12 11:11,10,30097174
4/3/12 13:05,111,30097109
4/18/12 12:50,41,30096713
4/10/12 12:48,117,30096465
4/10/12 13:18,109,30096424
4/10/12 13:18,109,30096424
4/10/12 13:18,109,30096424
