timestamp,accession
4/19/2012 14:50:33,30027775
4/18/2012 14:53:16,30028260
4/3/2012 14:54:16,30028336
4/12/2012 14:49:55,30028484
4/17/2012 14:50:26,30028898
4/12/2012 14:51:41,30029318
4/12/2012 14:55:53,30029391
4/3/2012 14:56:17,30029771
4/4/2012 9:48:30,30029771
4/11/2012 10:51:09,30030548
4/3/2012 14:23:42,30030944
4/17/2012 14:55:50,30031033
4/4/2012 14:53:50,30031504
4/9/2012 14:53:56,30033203
4/23/2012 9:37:27,30033203
4/19/2012 9:55:44,30033344
4/23/2012 9:37:27,30033955
4/24/2012 14:58:34,30034037
4/17/2012 14:55:09,30034250
4/19/2012 9:54:52,30035497
4/24/2012 14:55:17,30036172
4/24/2012 14:52:19,30036198
4/12/2012 14:55:53,30036214
4/18/2012 14:51:51,30037782
4/24/2012 14:53:48,30037972
4/9/2012 14:56:07,30038368
4/4/2012 14:57:05,30039150
4/4/2012 14:53:50,30039408
4/4/2012 14:51:46,30039457
4/23/2012 14:53:16,30039523
4/3/2012 14:51:26,30039978
4/4/2012 14:56:45,30040976
4/3/2012 14:59:16,30041438
4/4/2012 9:51:22,30041438
4/18/2012 14:58:03,30041552
4/19/2012 9:53:12,30042238
4/17/2012 14:53:32,30042725
4/9/2012 14:52:08,30044366
4/13/2012 14:50:30,30045041
4/11/2012 10:51:09,30045660
4/24/2012 14:54:12,30046395
4/18/2012 14:56:18,30046452
4/18/2012 14:53:16,30047351
4/12/2012 15:01:25,30047369
4/11/2012 10:53:56,30047401
4/11/2012 10:54:16,30047401
4/23/2012 14:53:16,30047401
4/3/2012 14:57:51,30047955
4/4/2012 9:47:50,30047955
4/17/2012 10:21:24,30048201
4/4/2012 14:55:37,30049639
4/24/2012 14:58:34,30049670
4/24/2012 14:58:57,30049829
4/17/2012 12:03:01,30050496
4/12/2012 14:54:55,30050652
4/10/2012 14:50:47,30050710
4/10/2012 12:48:17,30051106
4/3/2012 14:54:16,30051452
4/4/2012 14:52:23,30051841
4/9/2012 14:55:33,30051965
4/16/2012 14:50:28,30052070
4/4/2012 14:52:23,30052112
4/23/2012 14:52:21,30052112
4/12/2012 14:59:19,30052179
4/23/2012 14:54:09,30052211
4/23/2012 14:56:18,30052401
4/20/2012 14:55:54,30052625
4/20/2012 14:55:54,30052625
4/20/2012 14:55:54,30052625
4/20/2012 14:55:54,30052625
4/20/2012 14:55:54,30052625
4/5/2012 14:53:22,30053276
4/9/2012 14:54:53,30055214
4/12/2012 14:51:41,30055388
4/4/2012 14:55:57,30055602
4/9/2012 14:54:53,30056089
4/12/2012 14:55:53,30058762
4/19/2012 14:50:33,30058853
4/4/2012 14:52:47,30058903
4/10/2012 14:47:56,30059059
4/3/2012 14:53:31,30059083
4/4/2012 14:55:57,30059083
4/11/2012 10:54:16,30059158
4/17/2012 12:03:01,30059299
4/12/2012 14:49:55,30059521
4/18/2012 14:58:03,30059604
4/4/2012 14:51:46,30059653
4/3/2012 14:54:49,30060743
4/4/2012 9:50:30,30060743
4/17/2012 14:50:26,30061261
4/3/2012 15:02:49,30062772
4/3/2012 15:03:09,30062772
4/4/2012 9:51:22,30062772
4/12/2012 14:49:55,30063036
4/3/2012 14:57:51,30064299
4/4/2012 9:47:09,30064299
4/24/2012 14:55:17,30064794
4/19/2012 14:51:01,30065528
4/19/2012 14:51:02,30065528
4/23/2012 9:37:27,30065528
4/4/2012 9:52:50,30065627
4/10/2012 14:50:47,30067839
4/16/2012 12:48:08,30067854
4/16/2012 12:48:37,30067854
4/23/2012 14:54:46,30067854
4/5/2012 14:53:22,30067888
4/5/2012 14:53:35,30067888
4/19/2012 14:50:33,30068324
4/4/2012 14:55:37,30068498
4/19/2012 14:50:33,30068498
4/12/2012 14:51:41,30068647
4/4/2012 14:52:47,30068951
4/18/2012 14:52:36,30069181
4/18/2012 14:57:27,30069736
4/18/2012 14:51:21,30069983
4/19/2012 9:54:52,30070197
4/3/2012 14:51:02,30070791
4/3/2012 14:45:05,30071245
4/4/2012 14:55:57,30072128
4/4/2012 14:51:46,30072474
4/16/2012 14:50:28,30072573
4/12/2012 14:51:41,30072599
4/16/2012 12:48:08,30072755
4/16/2012 12:48:37,30072755
4/3/2012 14:55:23,30073183
4/4/2012 9:49:53,30073183
4/10/2012 14:49:47,30074025
4/24/2012 14:58:08,30074090
4/24/2012 14:56:17,30074538
4/19/2012 14:50:33,30074918
4/13/2012 14:50:12,30075089
4/9/2012 14:51:11,30075444
4/17/2012 14:55:09,30075469
4/17/2012 14:55:50,30076335
4/24/2012 14:53:48,30077630
4/9/2012 14:55:33,30077747
4/3/2012 14:54:49,30078372
4/4/2012 9:50:30,30078372
4/9/2012 14:51:11,30078463
4/13/2012 8:53:53,30078463
4/13/2012 8:53:56,30078463
4/13/2012 8:53:56,30078463
4/20/2012 14:49:06,30078471
4/16/2012 14:47:27,30078554
4/3/2012 14:54:16,30078612
4/16/2012 14:47:27,30078612
4/18/2012 14:53:16,30078810
4/18/2012 14:53:58,30078810
4/4/2012 14:57:05,30079636
4/5/2012 14:53:22,30080089
4/19/2012 9:51:54,30080352
4/19/2012 9:52:13,30080352
4/19/2012 9:52:13,30080352
4/19/2012 9:52:13,30080352
4/17/2012 14:50:26,30080410
4/17/2012 14:50:57,30080410
4/3/2012 14:52:25,30080469
4/10/2012 14:48:43,30080469
4/10/2012 14:49:47,30080477
4/10/2012 14:47:30,30080592
4/10/2012 14:49:47,30080659
4/18/2012 14:51:21,30080857
4/24/2012 14:58:34,30080923
4/3/2012 14:53:09,30080949
4/19/2012 9:51:54,30081038
4/19/2012 9:52:13,30081038
4/19/2012 9:52:13,30081038
4/19/2012 9:52:13,30081038
4/4/2012 9:47:09,30081640
4/13/2012 8:50:20,30081673
4/13/2012 8:50:26,30081673
4/23/2012 14:52:46,30081715
4/10/2012 12:48:17,30082077
4/12/2012 15:02:00,30082077
4/5/2012 14:53:35,30082143
4/9/2012 14:52:08,30082275
4/13/2012 14:49:22,30082325
4/4/2012 14:52:23,30082747
4/12/2012 14:59:19,30082903
4/24/2012 14:52:56,30083018
4/9/2012 14:52:08,30083216
4/10/2012 14:48:43,30083380
4/17/2012 14:55:50,30083513
4/3/2012 14:59:16,30083729
4/4/2012 9:51:22,30083729
4/13/2012 8:50:20,30083844
4/13/2012 8:50:26,30083844
4/12/2012 14:50:39,30084404
4/4/2012 14:54:12,30084743
4/24/2012 14:52:56,30084834
4/13/2012 14:48:46,30084875
4/3/2012 14:50:36,30085070
4/10/2012 14:51:52,30085419
4/11/2012 10:51:48,30085419
4/3/2012 14:51:02,30085914
4/3/2012 14:51:26,30085914
4/3/2012 15:02:02,30086227
4/4/2012 14:56:45,30086227
4/18/2012 14:53:16,30087811
4/3/2012 14:53:31,30088439
4/18/2012 14:51:51,30089239
4/18/2012 14:53:16,30090047
4/4/2012 14:55:37,30090252
4/19/2012 9:54:52,30091334
4/3/2012 14:54:49,30091870
4/4/2012 9:49:53,30091870
4/24/2012 14:53:48,30092225
4/17/2012 11:56:16,30092282
4/5/2012 14:51:49,30092472
4/24/2012 14:52:56,30092530
4/24/2012 14:58:08,30092951
4/23/2012 14:52:46,30094254
4/9/2012 14:52:08,30094312
4/4/2012 14:54:12,30094346
4/5/2012 14:51:18,30094379
4/3/2012 14:54:16,30094437
4/5/2012 14:53:35,30094437
4/23/2012 14:52:21,30094437
4/4/2012 14:52:23,30094759
4/18/2012 14:54:51,30095574
4/13/2012 14:48:46,30095657
4/9/2012 11:22:19,30096234
4/12/2012 14:50:39,30096424
4/10/2012 14:51:15,30096622
4/11/2012 10:51:09,30096622
4/24/2012 14:56:17,30096713
4/18/2012 14:51:51,30097109
4/16/2012 14:47:27,30097174
4/5/2012 14:53:00,30097646
4/5/2012 14:53:00,30097653
4/16/2012 14:47:27,30097653
4/5/2012 14:53:00,30097661
4/11/2012 10:51:48,30098016
4/4/2012 14:57:05,30098024
4/11/2012 10:51:48,30098545
4/12/2012 15:00:39,30100408
4/23/2012 14:54:09,30103493
