Timestamp,Accession Code
10/17/2011 14:47:58,30060594
10/17/2011 14:47:58,30109565
10/17/2011 14:47:58,30115737
10/17/2011 14:47:58,30134324
10/17/2011 14:48:35,30026702
10/17/2011 14:48:35,30106561
10/17/2011 14:48:35,30124598
10/17/2011 14:48:35,30127682
10/17/2011 14:48:35,30128953
10/17/2011 14:49:47,22221253
10/17/2011 14:49:47,30018162
10/17/2011 14:49:47,30025464
10/17/2011 14:49:47,30029946
10/17/2011 14:49:47,30110555
10/17/2011 14:50:25,19878693
10/17/2011 14:50:25,30018162
10/17/2011 14:50:25,30058754
10/17/2011 14:50:25,30096143
10/17/2011 14:50:25,30101919
10/17/2011 14:50:49,22221253
10/17/2011 14:50:49,30012256
10/17/2011 14:50:49,30025464
10/17/2011 14:50:49,30029946
10/17/2011 14:50:49,30113823
10/17/2011 14:51:28,19004787
10/17/2011 14:51:28,19875632
10/17/2011 14:51:28,30033377
10/17/2011 14:51:28,30059190
10/17/2011 14:51:28,30123830
10/17/2011 14:52:01,30058853
10/17/2011 14:52:01,30123343
10/17/2011 14:52:01,30125801
10/17/2011 14:52:01,30129076
10/17/2011 14:52:01,30130173
10/17/2011 14:52:31,19877455
10/17/2011 14:52:31,30077978
10/17/2011 14:52:31,30127187
10/17/2011 14:52:31,30132666
10/17/2011 14:52:31,30134316
10/17/2011 14:53:20,22231211
10/17/2011 14:53:20,30018386
10/17/2011 14:53:20,30034565
10/17/2011 14:53:20,30034656
10/17/2011 14:53:20,30113245
10/17/2011 14:53:41,19873462
10/17/2011 14:53:41,19877422
10/18/2011 8:39:19,30094379
10/18/2011 8:39:19,30094817
10/18/2011 8:39:19,30111470
10/18/2011 8:39:19,30118632
10/18/2011 8:39:19,30128755
10/18/2011 9:02:09,18994764
10/18/2011 9:02:09,30121826
10/18/2011 9:02:09,30130868
10/18/2011 11:24:40,30033773
10/18/2011 11:24:40,30058473
10/18/2011 11:24:40,30065338
10/18/2011 11:24:40,30119531
10/18/2011 11:24:40,30131452
10/18/2011 13:42:39,30084099
10/18/2011 13:42:39,30084099
10/18/2011 13:42:39,30127435
10/18/2011 13:42:39,30127435
10/18/2011 13:42:39,30131452
10/18/2011 13:43:01,22217814
10/18/2011 13:43:01,22217814
10/18/2011 13:43:01,30019749
10/18/2011 13:43:01,30019749
10/18/2011 13:43:01,30131452
10/18/2011 13:51:43,30132831
10/18/2011 14:02:50,30118111
10/18/2011 14:49:15,30069736
10/18/2011 14:49:15,30111397
10/18/2011 14:49:15,30118723
10/18/2011 14:49:15,30120638
10/18/2011 14:49:15,30131627
10/18/2011 14:49:45,30051403
10/18/2011 14:49:45,30085914
10/18/2011 14:49:45,30119077
10/18/2011 14:49:45,30131247
10/18/2011 14:49:45,30132872
10/18/2011 14:50:24,30034433
10/18/2011 14:50:24,30072086
10/19/2011 8:38:52,30113716
10/19/2011 8:38:52,30117766
10/19/2011 8:38:52,30122410
10/19/2011 8:38:52,30130678
10/19/2011 8:38:52,30131643
10/19/2011 13:32:31,30115539
10/19/2011 13:32:31,30125603
10/19/2011 13:32:31,30126452
10/19/2011 13:32:31,30126791
10/19/2011 13:32:31,30131494
10/19/2011 13:33:17,30012694
10/19/2011 13:33:17,30036917
10/19/2011 13:33:17,30084123
10/19/2011 13:33:17,30084966
10/19/2011 13:33:17,30085021
10/19/2011 13:35:04,30046908
10/19/2011 13:35:04,30046973
10/19/2011 13:35:04,30046981
10/19/2011 13:35:04,30126502
10/19/2011 13:35:04,30126684
10/19/2011 14:37:23,18997338
10/19/2011 14:37:23,19888049
10/19/2011 14:37:23,30082861
10/19/2011 14:37:23,30122493
10/19/2011 14:37:23,30126361
10/19/2011 14:38:01,30006399
10/19/2011 14:38:01,30017933
10/19/2011 14:38:01,30070890
10/19/2011 14:38:01,30128920
10/19/2011 14:38:01,30133318
10/19/2011 14:38:28,30024145
10/19/2011 14:38:28,30043624
10/19/2011 14:38:28,30050322
10/19/2011 14:38:28,30050389
10/19/2011 14:38:28,30050447
10/19/2011 14:38:58,30004568
10/19/2011 14:38:58,30056451
10/19/2011 14:38:58,30058671
10/19/2011 14:38:58,30058739
10/19/2011 14:38:58,30108872
10/19/2011 14:41:56,30134811
10/19/2011 14:54:37,30033211
10/19/2011 14:54:37,30050843
10/19/2011 14:54:37,30078349
10/19/2011 14:54:37,30110837
10/19/2011 14:54:37,30134944
10/20/2011 8:42:00,30069850
10/20/2011 8:42:00,30099733
10/20/2011 9:09:21,22220032
10/20/2011 9:09:21,22225528
10/20/2011 9:09:21,30017412
10/20/2011 9:09:21,30093124
10/20/2011 9:09:21,30119184
10/20/2011 9:09:46,19003201
10/20/2011 9:09:46,30083646
10/20/2011 9:09:46,30084842
10/20/2011 9:09:46,30105670
10/20/2011 9:09:46,30127567
10/20/2011 12:09:40,30067920
10/20/2011 12:09:40,30082531
10/20/2011 12:09:40,30090435
10/20/2011 12:09:40,30095236
10/20/2011 12:09:40,30121347
10/20/2011 14:48:25,30037428
10/20/2011 14:48:25,30038368
10/20/2011 14:48:25,30082093
10/20/2011 14:48:25,30085922
10/20/2011 14:48:25,30125892
10/20/2011 14:48:44,30019335
10/20/2011 14:48:44,30019335
10/20/2011 14:48:44,30077747
10/20/2011 14:48:44,30124119
10/20/2011 14:48:44,30131734
10/20/2011 14:49:12,30021851
10/20/2011 14:49:12,30092852
10/20/2011 14:49:12,30131486
10/20/2011 14:49:12,30131544
10/20/2011 14:51:55,19890235
10/20/2011 14:51:55,30082283
10/20/2011 14:51:55,30100408
10/20/2011 14:51:55,30121388
10/20/2011 14:55:34,30011035
10/21/2011 14:07:24,30037774
10/21/2011 14:07:24,30078273
10/21/2011 14:07:24,30131429
10/21/2011 14:07:24,30134480
10/21/2011 14:07:24,30135404
10/21/2011 14:49:31,18998211
10/21/2011 14:49:31,22235790
10/21/2011 14:49:31,30014864
10/21/2011 14:49:31,30110191
10/21/2011 14:49:31,30125843
10/21/2011 14:50:10,30048136
10/21/2011 14:50:10,30049373
10/21/2011 14:50:10,30071682
10/21/2011 14:50:10,30078133
10/21/2011 14:50:10,30080410
10/21/2011 14:51:02,18999227
10/21/2011 14:51:02,30010318
10/21/2011 14:51:02,30078133
10/21/2011 14:51:02,30079875
10/21/2011 14:51:02,30121412
10/21/2011 14:51:53,22216667
10/21/2011 14:51:53,30047955
10/21/2011 14:51:53,30108401
10/21/2011 14:51:53,30131585
10/21/2011 14:51:53,30135040
10/21/2011 14:52:24,19876317
10/21/2011 14:52:24,19883107
10/21/2011 14:52:24,30040547
10/21/2011 14:52:24,30047955
10/21/2011 14:52:24,30115224
10/21/2011 14:52:53,18994475
10/21/2011 14:52:53,19887942
10/21/2011 14:52:53,30082366
10/21/2011 14:52:53,30099808
10/21/2011 14:52:53,30103238
10/21/2011 14:53:26,19004589
10/21/2011 14:53:26,30083372
10/21/2011 14:53:26,30094437
10/21/2011 14:53:26,30106140
10/21/2011 14:53:26,30133359
10/24/2011 13:16:47,30037428
10/24/2011 13:16:47,30127682
10/24/2011 14:32:55,30014864
10/24/2011 14:32:55,30071682
10/24/2011 14:32:55,30080410
10/24/2011 14:32:55,30082093
10/24/2011 14:32:55,30110191
10/24/2011 14:34:03,30007702
10/24/2011 14:34:03,30092852
10/24/2011 14:34:03,30094437
10/24/2011 14:34:03,30103238
10/24/2011 14:34:03,30134480
10/24/2011 14:36:15,19003896
10/24/2011 14:36:15,30071054
10/24/2011 14:36:15,30078216
10/24/2011 14:36:15,30125934
10/24/2011 14:36:15,30126023
10/24/2011 14:36:57,30095848
10/24/2011 14:36:57,30109334
10/24/2011 14:36:57,30121123
10/24/2011 14:48:33,30009518
10/24/2011 14:48:33,30076822
10/24/2011 14:48:33,30077614
10/24/2011 14:48:33,30082309
10/24/2011 14:48:33,30124119
10/24/2011 14:49:39,30075253
10/24/2011 14:49:39,30080576
10/24/2011 14:56:16,30021976
10/24/2011 14:56:16,30062152
10/24/2011 14:58:49,30009518
10/25/2011 15:07:51,18991331
10/25/2011 15:07:51,19888023
10/25/2011 15:07:51,19888171
10/25/2011 15:07:51,30082226
10/25/2011 15:07:51,30134282
10/25/2011 15:08:17,30083380
10/25/2011 15:09:06,18991570
10/25/2011 15:09:06,30082226
10/25/2011 15:09:06,30084651
10/25/2011 15:09:06,30084750
10/25/2011 15:09:06,30113435
10/25/2011 15:09:28,30023238
10/25/2011 15:09:28,30075089
10/25/2011 15:09:28,30086102
10/25/2011 15:09:28,30110498
10/25/2011 15:09:28,30110662
10/25/2011 15:10:03,22225312
10/25/2011 15:10:03,30034698
10/25/2011 15:10:03,30058739
10/25/2011 15:10:03,30082838
10/25/2011 15:10:03,30131429
10/25/2011 15:10:25,18991190
10/25/2011 15:10:25,18991273
10/25/2011 15:10:25,22236038
10/25/2011 15:10:25,30023501
10/25/2011 15:10:25,30132609
10/25/2011 15:11:04,30011035
10/25/2011 15:11:04,30065593
10/25/2011 15:11:04,30083075
10/25/2011 15:11:04,30116974
10/25/2011 15:11:04,30131460
10/25/2011 15:11:26,18998641
10/25/2011 15:11:26,30031546
10/25/2011 15:11:26,30066583
10/25/2011 15:11:26,30079875
10/25/2011 15:11:26,30116099
10/25/2011 15:11:49,30098404
10/26/2011 8:49:27,22228068
10/26/2011 8:49:27,30018352
10/26/2011 8:49:27,30111645
10/26/2011 8:49:27,30123327
10/26/2011 8:49:27,30126569
10/26/2011 8:50:22,30135701
10/26/2011 9:05:58,30045041
10/26/2011 9:05:58,30056634
10/26/2011 9:05:58,30113179
10/26/2011 9:05:58,30134951
10/26/2011 9:05:58,30135321
10/26/2011 9:07:47,30040729
10/26/2011 9:07:47,30072391
10/26/2011 9:07:47,30113179
10/26/2011 9:07:47,30128870
10/26/2011 9:07:47,30134704
10/26/2011 9:10:49,18994475
10/26/2011 9:10:49,30075444
10/26/2011 10:07:22,30116560
10/26/2011 14:50:39,30061014
10/26/2011 14:50:39,30084669
10/26/2011 14:50:39,30092852
10/26/2011 14:50:39,30106140
10/26/2011 14:50:39,30115406
10/26/2011 14:51:58,19000249
10/26/2011 14:51:58,22224547
10/26/2011 14:51:58,30075022
10/26/2011 14:51:58,30118962
10/26/2011 14:51:58,30124408
10/26/2011 14:53:01,30061683
10/26/2011 14:53:01,30077747
10/26/2011 14:53:01,30112551
10/26/2011 14:53:01,30129233
10/26/2011 14:53:01,30131908
10/26/2011 14:54:00,22222574
10/26/2011 14:54:00,30015077
