timestamp,library_card,accession
4/5/2012 14:07:25,0178,30133052
4/9/2012 12:43:27,0084,30132898
4/24/2012 14:19:24,0131,30132831
4/24/2012 14:19:43,0131,30132831
4/3/2012 14:11:22,0153,30132831
4/13/2012 13:33:29,0121,30132120
4/10/2012 13:08:25,0043,30131890
4/19/2012 9:02:05,0219,30131841
4/12/2012 11:15:06,0049,30131742
4/3/2012 14:15:49,0119,30131718
4/10/2012 10:35:51,0066,30131650
4/23/2012 12:40:00,0110,30131650
4/18/2012 13:28:27,0130,30131544
4/4/2012 14:38:01,0126,30131262
4/4/2012 14:38:17,0126,30131262
4/4/2012 14:38:16,0126,30131262
4/4/2012 14:38:36,0126,30131247
4/4/2012 13:19:42,0130,30130785
4/24/2012 14:46:18,0126,30130744
4/24/2012 14:46:25,0126,30130744
4/9/2012 14:17:50,0083,30130702
4/17/2012 14:07:47,0151,30130637
4/18/2012 14:18:34,0144,30130389
4/9/2012 11:14:41,0201,30130306
4/24/2012 13:59:27,0166,30130173
4/17/2012 13:11:52,0056,30130025
4/6/2012 14:09:50,0015,30129878
4/18/2012 13:56:31,0128,30129746
4/13/2012 14:19:14,0054,30129647
4/4/2012 12:52:52,0041,30129605
4/17/2012 10:02:08,0025,30129449
4/17/2012 10:27:02,0041,30129019
4/17/2012 10:26:14,0041,30128953
4/5/2012 12:40:55,0026,30128854
4/4/2012 13:31:50,0217,30128789
4/18/2012 13:13:01,0132,30128755
4/3/2012 13:55:11,0123,30128532
4/12/2012 13:12:35,0149,30127807
4/12/2012 13:12:44,0149,30127807
4/12/2012 13:12:44,0149,30127807
4/9/2012 13:26:07,0091,30127682
4/11/2012 9:15:01,0062,30127518
4/19/2012 14:05:36,0123,30127500
4/10/2012 14:13:16,0128,30127443
4/3/2012 13:04:25,0075,30127310
4/17/2012 9:51:00,0207,30127252
4/24/2012 14:35:37,0149,30127229
4/4/2012 13:19:00,0418,30127070
4/4/2012 13:19:04,0418,30127070
4/17/2012 11:30:25,0014,30127021
4/11/2012 10:34:27,0014,30126882
4/6/2012 14:04:38,0016,30126882
4/17/2012 10:22:00,0187,30126882
4/17/2012 10:22:08,0187,30126882
4/9/2012 14:13:45,0059,30126817
4/6/2012 14:08:09,0019,30126759
4/5/2012 11:08:19,0029,30126650
4/19/2012 11:16:22,0030,30126445
4/19/2012 11:16:11,0030,30126387
4/24/2012 13:04:42,0074,30126346
4/10/2012 14:04:19,0210,30126338
4/3/2012 8:20:18,0184,30126262
4/5/2012 11:14:06,0049,30126247
4/24/2012 13:04:59,0074,30126205
4/9/2012 14:33:41,0111,30125934
4/9/2012 13:07:06,0001,30125918
4/17/2012 10:26:39,0041,30125884
4/19/2012 13:02:29,0039,30125819
4/16/2012 12:52:11,0040,30125819
4/12/2012 14:10:00,0121,30125603
4/10/2012 12:45:03,0015,30125488
4/18/2012 14:09:17,0139,30125421
4/9/2012 13:58:21,0075,30125363
4/24/2012 12:47:45,0043,30124820
4/5/2012 8:34:32,0054,30124788
4/5/2012 13:08:12,0075,30124739
4/24/2012 14:47:17,0153,30124689
4/19/2012 14:01:21,0166,30124499
4/24/2012 14:02:38,0135,30124374
4/3/2012 8:14:34,0184,30124366
4/4/2012 12:52:02,0005,30124200
4/11/2012 12:22:56,0221,30124044
4/18/2012 12:55:39,0070,30123814
4/11/2012 9:26:55,0103,30123798
4/3/2012 14:20:56,0103,30123749
4/23/2012 12:45:03,0108,30123749
4/10/2012 14:13:45,0161,30123681
4/10/2012 14:14:11,0177,30123624
4/23/2012 12:22:26,0095,30123392
4/17/2012 12:45:38,0002,30123384
4/23/2012 12:22:49,0095,30122907
4/16/2012 9:43:20,0178,30122725
4/18/2012 12:51:25,0005,30122543
4/3/2012 8:49:35,0054,30122121
4/17/2012 14:01:52,0167,30122121
4/10/2012 14:04:01,0149,30122014
