checkout_time,user_id,accession
5/21/2012 13:40:03,0107,30127682
5/21/2012 13:43:48,0110,30095822
5/21/2012 13:43:57,0111,30086326
5/21/2012 13:44:07,0111,30135412
5/21/2012 13:52:14,0115,30131767
5/21/2012 13:53:00,0115,30131767
5/21/2012 14:05:31,0062,30053334
5/21/2012 14:06:26,0062,30060800
5/21/2012 14:06:35,0062,30060800
5/21/2012 14:06:56,0062,30097638
5/21/2012 14:07:29,0080,30080295
5/21/2012 14:07:52,0108,30117113
5/21/2012 14:08:53,0103,19005123
5/21/2012 14:09:06,0103,19003177
5/21/2012 14:09:15,0103,30012181
5/21/2012 14:09:22,0103,30041750
5/21/2012 14:09:36,0103,30041750
5/21/2012 14:09:53,0059,19884949
5/21/2012 14:10:57,0071,30117790
5/21/2012 14:12:39,0102,30099816
5/21/2012 14:13:24,0082,30126007
5/21/2012 14:13:38,0083,18994400
5/21/2012 14:37:30,0198,22228480
5/21/2012 14:50:02,0198,30139653
5/21/2012 15:51:48,0201,30004956
5/21/2012 15:52:25,0201,19882307
5/21/2012 15:52:34,0201,30029797
5/21/2012 15:52:47,0201,30029771
5/21/2012 15:52:55,0201,30023915
5/21/2012 15:53:01,0201,30067623
5/21/2012 15:53:17,0201,30015051
5/21/2012 15:53:26,0201,30072052
5/21/2012 15:53:37,0201,30016257
5/21/2012 15:53:47,0201,30040497
5/21/2012 15:53:56,0201,30083547
5/21/2012 15:54:06,0201,30031223
5/21/2012 15:54:12,0201,22229363
5/21/2012 15:54:24,0201,30066252
5/21/2012 15:54:32,0201,22231336
5/21/2012 15:54:41,0201,30011027
5/21/2012 15:54:51,0201,22229587
5/22/2012 8:21:31,0170,30075444
5/22/2012 8:57:55,0063,30065692
5/22/2012 9:42:49,0214,30128490
5/22/2012 11:57:46,0185,30027106
5/22/2012 11:57:50,0185,30027106
5/22/2012 12:04:05,0185,30141014
5/22/2012 12:04:13,0185,30141071
5/22/2012 12:41:51,0115,30091706
5/22/2012 12:43:59,0075,30019020
5/22/2012 12:44:08,0085,30098990
5/22/2012 12:47:15,0088,30091953
5/22/2012 12:47:38,0102,30121826
5/22/2012 12:50:17,0071,30136600
5/22/2012 12:55:20,0100,30025894
5/22/2012 13:01:39,0004,30077994
5/22/2012 13:02:07,0043,19878115
5/22/2012 13:02:34,0006,30039895
5/22/2012 13:10:49,0095,30024251
5/22/2012 13:15:31,0095,30024251
5/22/2012 13:30:40,0185,30136311
5/22/2012 13:30:59,0109,30075964
5/22/2012 13:31:07,0105,30051593
5/22/2012 13:39:22,0185,30087746
5/22/2012 13:39:39,0076,30000616
5/22/2012 13:39:50,0076,30097521
5/22/2012 13:39:59,0076,30097521
5/22/2012 13:40:06,0076,30097513
5/22/2012 14:03:19,0129,30139711
5/22/2012 14:03:23,0129,30139711
5/22/2012 14:10:26,0122,30078794
5/22/2012 14:11:06,0177,30135172
5/22/2012 14:17:41,0125,18992156
5/22/2012 14:20:25,0119,30137285
5/22/2012 14:27:28,0154,30093678
5/22/2012 14:28:16,0166,30122774
5/22/2012 14:31:12,0165,30093546
5/22/2012 14:32:50,0149,30139695
5/22/2012 14:41:24,0153,30020168
5/22/2012 14:47:08,0132,30118632
5/22/2012 14:47:20,0132,30009328
5/23/2012 12:35:39,0117,30126502
5/23/2012 12:42:09,0096,30073712
5/23/2012 12:43:15,0097,30130173
5/23/2012 12:44:24,0115,30117824
5/23/2012 12:44:39,0115,30132641
5/23/2012 12:45:24,0041,30140958
5/23/2012 12:49:18,0068,30126098
5/23/2012 12:51:50,0064,30073563
5/23/2012 12:56:38,0106,30098768
5/23/2012 12:56:50,0106,30098768
5/23/2012 13:00:03,0014,30109110
5/23/2012 13:00:14,0018,30093108
5/23/2012 13:00:32,0083,30139927
5/23/2012 13:03:23,0005,30017586
5/23/2012 13:03:31,0005,30095814
5/23/2012 13:03:38,0005,30113831
5/23/2012 13:03:48,0005,19881515
5/23/2012 13:03:54,0005,20831368
5/23/2012 13:03:59,0005,30119754
5/23/2012 13:04:20,0051,30115901
5/23/2012 13:04:43,0015,30015325
5/23/2012 13:06:54,0122,30117543
5/23/2012 13:12:35,0132,30112916
5/23/2012 13:12:39,0132,30112916
5/23/2012 13:12:47,0132,30108740
5/23/2012 13:15:48,0180,30087670
5/23/2012 13:17:39,0159,30140776
5/23/2012 13:18:32,0134,30099592
5/23/2012 13:18:46,0159,30042642
5/23/2012 13:23:33,0092,30083703
5/23/2012 13:23:43,0092,30140974
5/23/2012 14:02:20,0150,30114920
5/23/2012 14:02:23,0150,30114920
5/23/2012 14:02:52,0123,30079842
5/23/2012 14:10:22,0131,30139331
5/23/2012 14:13:17,0121,30118590
5/23/2012 14:14:08,0142,30123715
5/23/2012 14:17:06,0144,30055503
5/23/2012 14:17:20,0123,30106967
5/23/2012 14:46:59,0160,30004139
5/23/2012 14:47:12,0160,30115513
5/23/2012 14:47:21,0160,30115513
5/23/2012 14:47:32,0160,30094650
5/23/2012 14:48:22,0121,30124234
5/23/2012 15:03:23,0127,30082465
5/23/2012 15:03:28,0127,30082465
5/23/2012 15:03:44,0150,30117568
