checked_in_on,accession
5/4/2012 14:52:36,30024426
5/3/2012 14:49:15,30024715
5/9/2012 14:50:50,30026249
4/30/2012 11:21:02,30026330
5/9/2012 14:49:40,30027585
5/1/2012 13:10:04,30027692
5/1/2012 8:53:30,30027791
4/30/2012 11:17:37,30027791
5/2/2012 14:49:28,30027940
4/25/2012 14:54:23,30028781
5/3/2012 14:49:41,30029938
5/9/2012 14:55:09,30030555
5/4/2012 14:52:56,30030860
5/4/2012 14:52:57,30030860
4/26/2012 14:49:37,30031165
5/9/2012 14:54:41,30031546
5/8/2012 14:56:03,30031777
5/1/2012 8:44:08,30032411
5/1/2012 8:54:43,30032916
5/1/2012 8:52:47,30033971
5/1/2012 8:52:52,30033971
5/1/2012 8:52:53,30033971
5/2/2012 14:55:22,30034607
5/1/2012 14:53:06,30035364
5/1/2012 8:54:43,30035471
4/25/2012 14:54:23,30036149
5/9/2012 14:52:38,30037154
5/2/2012 14:52:58,30037154
5/2/2012 14:50:50,30038152
5/2/2012 14:53:29,30038970
5/3/2012 14:50:33,30038996
5/2/2012 14:50:50,30039051
5/9/2012 14:49:21,30039093
5/9/2012 14:49:21,30039150
5/9/2012 14:56:41,30039218
5/3/2012 14:50:08,30039267
5/2/2012 14:55:49,30039275
5/9/2012 14:55:46,30039275
4/30/2012 11:19:08,30039325
5/11/2012 11:38:43,30039325
5/11/2012 11:39:03,30039325
5/11/2012 11:39:03,30039325
5/2/2012 14:50:00,30039390
5/2/2012 14:55:49,30039572
5/2/2012 14:52:58,30039630
5/1/2012 13:08:37,30040000
5/3/2012 11:53:21,30040539
5/3/2012 14:50:08,30041131
4/30/2012 11:23:55,30041446
5/4/2012 14:50:49,30041800
5/9/2012 14:49:59,30041982
5/1/2012 14:50:54,30042774
5/1/2012 14:50:54,30042774
5/9/2012 14:56:10,30042824
4/30/2012 11:17:07,30043889
4/30/2012 11:17:14,30043889
5/11/2012 10:05:10,30045264
5/10/2012 14:49:16,30045280
5/9/2012 11:24:02,30046890
5/1/2012 13:08:37,30049340
5/1/2012 13:11:50,30049381
4/30/2012 11:21:02,30049878
4/30/2012 11:17:37,30050389
5/9/2012 14:53:49,30050603
5/8/2012 14:57:00,30051148
5/11/2012 10:06:18,30051940
4/30/2012 11:25:08,30052609
5/1/2012 14:01:04,30052641
5/2/2012 14:53:29,30052708
5/2/2012 14:52:58,30052765
5/8/2012 14:57:25,30053052
5/2/2012 14:50:00,30053771
5/11/2012 10:05:47,30053771
5/4/2012 14:48:51,30054621
5/4/2012 14:49:08,30054621
5/2/2012 14:53:29,30054829
5/11/2012 10:06:18,30055107
5/1/2012 13:14:18,30055420
5/10/2012 14:50:14,30055420
5/10/2012 14:50:14,30055420
5/9/2012 14:49:21,30055727
5/9/2012 14:55:09,30056824
5/1/2012 8:44:08,30057392
5/11/2012 10:06:18,30058747
5/11/2012 10:05:47,30058804
5/1/2012 9:00:22,30059059
4/25/2012 14:51:58,30059521
5/1/2012 8:54:13,30059653
5/11/2012 10:05:10,30059653
5/8/2012 14:54:56,30059661
4/25/2012 14:53:41,30059745
5/9/2012 14:54:17,30060743
5/9/2012 14:54:17,30060743
5/3/2012 14:52:05,30060800
4/25/2012 14:52:53,30061014
5/11/2012 10:05:47,30062483
4/25/2012 14:53:15,30062830
4/25/2012 14:51:30,30063028
4/30/2012 11:22:13,30063259
4/30/2012 11:18:00,30064224
5/10/2012 13:14:05,30065247
4/30/2012 11:17:07,30065338
4/30/2012 11:17:14,30065338
5/3/2012 14:51:42,30065460
4/26/2012 14:47:20,30065486
4/30/2012 11:21:31,30065593
5/8/2012 14:57:00,30065791
5/1/2012 9:03:14,30066013
5/1/2012 8:44:08,30066989
4/26/2012 14:50:42,30067987
4/26/2012 14:50:42,30067987
4/26/2012 14:50:42,30067987
5/9/2012 14:54:01,30068498
5/10/2012 14:51:13,30068647
5/1/2012 13:09:45,30068894
5/9/2012 11:24:37,30070114
5/3/2012 14:49:15,30070627
5/9/2012 14:55:09,30070668
5/10/2012 13:14:05,30071146
5/2/2012 14:53:29,30071195
5/1/2012 13:10:35,30071856
5/4/2012 14:52:08,30072839
4/30/2012 11:23:55,30073662
5/1/2012 14:50:54,30073779
5/1/2012 8:52:47,30073860
5/1/2012 8:52:52,30073860
5/1/2012 8:52:53,30073860
4/26/2012 14:47:20,30075253
5/2/2012 14:56:12,30075378
5/8/2012 14:54:56,30075378
5/2/2012 11:25:42,30075444
5/10/2012 13:14:05,30076210
5/3/2012 14:50:33,30076319
4/26/2012 14:49:37,30076822
5/9/2012 11:24:37,30077358
5/9/2012 14:53:25,30077614
5/1/2012 8:54:13,30077630
4/26/2012 14:47:20,30077671
5/9/2012 14:53:01,30077697
5/2/2012 14:54:57,30077754
5/4/2012 14:48:51,30078323
5/4/2012 14:49:08,30078323
5/1/2012 8:59:23,30078612
4/25/2012 14:50:54,30078679
5/4/2012 14:52:36,30078703
5/2/2012 14:54:57,30078752
4/25/2012 14:53:15,30079180
4/30/2012 11:24:16,30080170
4/30/2012 11:24:16,30080295
5/1/2012 14:52:40,30080618
5/9/2012 14:50:26,30080857
4/30/2012 11:17:37,30081368
5/1/2012 8:59:23,30081582
4/25/2012 14:53:15,30081590
4/26/2012 12:44:54,30081707
4/30/2012 11:22:13,30082101
5/4/2012 14:51:13,30082176
5/2/2012 14:56:29,30082200
4/25/2012 14:51:30,30082382
4/26/2012 14:49:37,30083216
5/8/2012 14:54:29,30083232
5/9/2012 14:55:25,30083331
4/25/2012 14:53:15,30083430
4/30/2012 11:17:37,30083877
5/1/2012 8:53:30,30083877
4/25/2012 14:51:30,30084388
4/30/2012 11:18:00,30084438
5/1/2012 8:53:30,30084636
4/25/2012 14:51:58,30084719
5/8/2012 14:57:43,30084875
5/8/2012 14:57:25,30084875
5/1/2012 14:52:40,30085070
5/9/2012 14:48:34,30085492
4/26/2012 14:47:39,30085500
5/1/2012 13:10:35,30086219
5/9/2012 14:50:50,30086342
5/4/2012 14:51:42,30086581
5/8/2012 14:56:23,30087753
5/1/2012 13:09:45,30088066
5/10/2012 14:52:26,30088439
4/25/2012 14:51:58,30089460
5/2/2012 14:55:22,30089718
5/2/2012 14:50:25,30089783
4/30/2012 11:21:31,30090252
5/9/2012 14:52:38,30091508
5/8/2012 14:57:25,30091912
5/8/2012 14:57:00,30091912
5/9/2012 11:24:02,30092605
4/25/2012 14:54:23,30092670
5/9/2012 14:56:41,30092670
4/25/2012 14:50:54,30093108
5/8/2012 14:57:25,30093355
5/3/2012 14:48:44,30093371
4/26/2012 14:47:20,30093546
5/10/2012 12:12:02,30094437
5/4/2012 14:52:08,30095343
5/1/2012 13:16:49,30095590
5/1/2012 13:58:44,30095590
5/1/2012 13:59:06,30095590
5/1/2012 13:59:06,30095590
5/1/2012 13:59:07,30095590
5/1/2012 13:59:06,30095590
5/1/2012 13:59:06,30095590
5/1/2012 13:59:07,30095590
5/2/2012 14:56:29,30095590
5/10/2012 14:52:26,30096424
5/9/2012 14:51:50,30099055
5/9/2012 14:52:12,30099055
5/9/2012 14:52:12,30099113
5/9/2012 14:51:50,30099113
5/9/2012 14:52:12,30099170
5/9/2012 14:51:50,30099170
5/9/2012 14:51:50,30099238
5/9/2012 14:52:12,30099238
5/4/2012 14:51:42,30099543
5/1/2012 9:00:48,30099733
5/9/2012 14:50:50,30099816
4/26/2012 14:48:24,30100408
5/4/2012 14:51:42,30100408
5/8/2012 14:54:56,30100853
5/9/2012 14:55:25,30101109
5/2/2012 14:50:00,30103774
4/26/2012 12:44:54,30104699
5/9/2012 14:51:06,30104707
4/30/2012 14:47:43,30106389
4/30/2012 14:47:43,30106389
5/4/2012 14:52:36,30107619
5/11/2012 10:05:47,30108153
5/1/2012 13:08:37,30108286
5/4/2012 14:52:56,30108450
5/4/2012 14:52:57,30108450
5/8/2012 14:03:27,30108864
5/8/2012 14:03:31,30108864
5/10/2012 13:14:05,30108864
5/10/2012 14:50:14,30109664
5/1/2012 8:59:23,30110456
5/3/2012 14:52:40,30110464
5/9/2012 14:50:50,30110498
4/30/2012 11:19:08,30110514
4/30/2012 11:17:37,30110563
4/26/2012 14:44:45,30110662
5/8/2012 14:56:03,30110662
5/9/2012 14:51:06,30110753
5/1/2012 8:52:47,30110928
5/1/2012 8:52:52,30110928
5/1/2012 8:52:53,30110928
4/30/2012 11:23:55,30110977
5/4/2012 14:52:08,30110977
5/2/2012 14:55:49,30111207
5/2/2012 14:55:49,30111207
5/2/2012 14:56:12,30111207
4/30/2012 14:47:43,30111306
5/2/2012 14:56:29,30111512
5/4/2012 14:51:13,30111967
5/1/2012 10:29:44,30112361
5/1/2012 10:30:05,30112361
5/11/2012 10:04:32,30112528
5/8/2012 14:56:03,30112726
5/9/2012 14:51:50,30112916
5/1/2012 8:59:23,30113120
5/9/2012 14:53:01,30113203
5/4/2012 14:52:36,30113492
5/1/2012 10:12:11,30114391
5/1/2012 10:12:22,30114391
4/25/2012 14:52:33,30115232
4/25/2012 13:30:56,30115281
5/10/2012 14:52:05,30115406
5/1/2012 13:09:45,30115455
4/25/2012 14:50:54,30115463
5/10/2012 12:12:02,30115471
