checkin_time,accession
5/22/2012 11:21:28,30086219
5/22/2012 11:21:28,30106124
5/22/2012 11:21:28,30116545
5/22/2012 14:49:12,30015770
5/22/2012 14:49:12,30034730
5/22/2012 14:49:12,30036453
5/22/2012 14:49:12,30053862
5/22/2012 14:49:12,30099618
5/22/2012 14:50:27,30018352
5/22/2012 14:50:27,30095202
5/22/2012 14:50:27,30114797
5/22/2012 14:50:27,30121438
5/22/2012 14:50:27,30140776
5/22/2012 14:51:21,19886753
5/22/2012 14:51:21,30037162
5/22/2012 14:51:21,30098016
5/22/2012 14:51:21,30114391
5/22/2012 14:51:21,30137434
5/22/2012 14:51:38,19873702
5/22/2012 14:51:38,22231096
5/22/2012 14:51:38,30006423
5/22/2012 14:51:38,30083000
5/22/2012 14:51:38,30129878
5/23/2012 12:43:33,22218457
5/23/2012 12:43:33,22218531
5/23/2012 12:43:33,22218762
5/23/2012 12:43:33,30000103
5/23/2012 12:43:33,30117824
5/23/2012 14:08:15,30055206
5/23/2012 14:08:15,30091706
5/23/2012 14:08:15,30121826
5/23/2012 14:08:15,30139331
5/23/2012 14:08:15,30140222
5/23/2012 14:08:19,30055206
5/23/2012 14:08:19,30078794
5/23/2012 14:08:19,30091706
5/23/2012 14:08:19,30121826
5/23/2012 14:08:19,30139331
5/23/2012 14:50:03,30068472
5/23/2012 14:50:03,30070106
5/23/2012 14:50:03,30118590
5/23/2012 14:50:03,30125603
5/23/2012 14:50:03,30134803
5/23/2012 14:50:42,19887421
5/23/2012 14:50:42,30013064
5/23/2012 14:50:42,30066252
5/23/2012 14:50:42,30078703
5/23/2012 14:50:42,30123392
5/23/2012 14:51:17,30023915
5/23/2012 14:51:17,30040497
5/23/2012 14:51:17,30047153
5/23/2012 14:51:17,30083547
5/23/2012 14:51:17,30138952
5/23/2012 14:51:53,22222400
5/23/2012 14:51:53,30130066
5/23/2012 14:51:53,30133318
5/23/2012 14:51:53,30134001
5/23/2012 14:51:53,30134811
5/23/2012 14:52:21,30030944
5/23/2012 14:52:21,30058952
5/23/2012 14:52:21,30066559
5/23/2012 14:52:21,30117790
5/23/2012 14:52:21,30130603
5/23/2012 14:52:57,30028401
